Item,ShinyName,Needed_For,Req,Guyed,Source,Part_Num,Cost,Amt_unit,Source_1,Source_2,TotalCost
"1 3/8"" T-shape Thru Fitting",T_thru,Structure,Both,Either,Canopies & Tarps,FVOT,$10.22 ,0,https://www.canopiesandtarps.com/fvotcc.html,,
"1 3/8"" Flat Roof Center Fitting",Roof,Structure,Both,Either,Canopies & Tarps,FVF5,$17.86 ,0,https://www.canopiesandtarps.com/fvf5cc.html,,
Ground Clamp,0,Structure,Both,Either,3-Star,TNB4002,$4.95 ,1,https://www.3starinc.com/thomas_and_betts_tnb4002_j_water_pipe_ground_clamp.html?filter=%26fd6%3D33,,
Tower Base Ground Clamp,0,Structure,Rohn,Either,3-Star,CBC1/1.25,$37.00 ,1,https://www.3starinc.com/rohn_r-cpc11_25_tower_base_ground_clamp.html,,
"5/8"" x 4' Copper-clad grounding rod",0,Structure,Both,Either,3-Star,GR-8,$19.95 ,1,https://www.3starinc.com/58_x_8_foot_ground_rod_copper_clad.html?filter=%26fd6%3D34,,
ROHN 25G 10 Foot Main Tower Section,main,Structure,Rohn,Either,3-Star,25G,$156.00 ,0,https://www.3starinc.com/rohn_25g_10_main_tower_section_r-25g.html,,
ROHN 25G Tower Section Top Cap,0,Structure,Rohn,Either,3-Star,R-25AG1,$269.00 ,1,https://www.3starinc.com/rohn_25g_tower_section_top_cap_r-25ag1.html,,
ROHN 25G Hinged baseplate,0,Structure,Rohn,Guyed,3-Star,BPH25G,$369.00 ,1,https://www.3starinc.com/rohn_25g_tower_hinged_base_plate_r-bph25g.html,,
ROHN 25G guyline bracket,0,Structure,Rohn,Guyed,3-Star,GA25GD,$239.00 ,1,https://www.3starinc.com/rohn_25g_tower_guy_bracket_r-ga25gd.html,,
3/16 steel wire rope 250' spool,small spool,Structure,Both,Guyed,E-Rigging,21015025,$55.49 ,0,https://www.e-rigging.com/three-sixteenths-X-250-foot-Galvanized-Cable,,
3/16 steel wire rope 500' spool,big spool,Structure,Both,Guyed,E-Rigging,21015050,$103.99 ,0,https://www.e-rigging.com/three-sixteenths-X-500-foot-Galvanized-Cable,,
3/16 Wire Rope thimble,thimble,Structure,Both,Guyed,E-Rigging,51202051,$0.20 ,0,https://www.e-rigging.com/three-sixteenths-inch-Light-Duty-Wire-Rope-Thimble,,
