Item,Req,Data,Freq,Source,Cost,Amt_unit,Source_1,Source_2,ShinyName,Needed_For,Part_Num
CTT Sensorstation V.3,CTT,All,NA,CTT,$889.00 ,1,https://celltracktech.com/products/sensorstation-for-sensorgnome-version-3-0,,0,Receiver,
LTE Modem,CTT,LTE,NA,CTT,$50.00 ,1,https://celltracktech.com/collections/digital-radio-products/products/sensorstation-for-sensorgnome-version-3-1?F1=LTE,,0,Receiver,
Iridium Modem,CTT,Iridium,NA,CTT,$500.00 ,1,https://celltracktech.com/collections/digital-radio-products/products/sensorstation-for-sensorgnome-version-3-1?F1=Iridium,,0,Receiver,
Bud Industries Electronics Case - NBF-32318 (UV Protected),CTT,All,NA,Allied Electronics,$78.34 ,1,https://www.alliedelec.com/product/bud-industries/nbf-32318/70148202/,https://www.amazon.com/BUD-Industries-NBF-32318-Plastic-Outdoor/dp/B005UPBOXW,0,Receiver,
GPS Antenna - 3-5V 28dB 5 Meter SMA,CTT,All,NA,Adafruit,$19.95 ,1,https://www.adafruit.com/products/960,,0,Receiver,
Pack of 4 RF U.FL(IPEX/IPX) to SMA Female (12 inches (30 cm)),CTT,All,NA,Amazon,$13.97 ,1,https://www.amazon.com/gp/product/B074RJ1RXP/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1,,0,Receiver,
5 Pcs Dual Row 4 Position Covered Screw Terminal Strip 600V 25A,CTT,All,NA,Amazon,$8.99 ,1,https://www.amazon.com/uxcell-Positions-Barrier-Terminal-TB-4504L/dp/B07DM14L15/ref=sr_1_9?keywords=dual+row+4+position+covered+screw+terminal+strip&qid=1580322077&sr=8-9,,0,Receiver,
"#6-32 1/2"" pan head machine screw",CTT,All,NA,local,$0.16 ,2,,,0,Receiver,
#-32 lock nut,CTT,All,NA,local,$0.11 ,2,,,0,Receiver,
"10-24 x 1/2"" pan head machine screw",CTT,All,NA,local,$0.19 ,8,,,0,Receiver,
10-24 coupling nut,CTT,All,NA,local,$0.51 ,4,,,0,Receiver,
